county,year,season,rainfall_mm,temp_max_c,temp_min_c,soil_ph,fertilizer_used,farm_size_ha,yield_bags_per_ha
Nakuru,2018,Long Rains,449.67141530112326,23.72347139765763,13.295377076201385,6.9615149282040125,0,0.33919258382921036,50.0
Nakuru,2018,Short Rains,311.3947783322327,25.061051228130097,15.08512008717193,5.9682911535937695,1,1.487855661721709,22.3
Nakuru,2019,Long Rains,227.50821674869673,22.875424941518055,9.974337759331153,6.357123666297637,0,0.9125544364416941,21.2
Nakuru,2019,Short Rains,231.93789596107715,26.13505640937585,11.150503627573087,5.927808637737408,1,0.37392250395483284,16.0
Nakuru,2020,Long Rains,339.9361310081195,23.416612500413446,10.796586775541206,7.126139092254469,0,1.3670944562683003,36.2
Nakuru,2020,Short Rains,152.3325080023182,26.41772719000951,10.080659752240448,5.535906975550785,1,2.9844907542762815,9.4
Nakuru,2021,Long Rains,473.84665799954104,24.34273656237994,11.76870343522352,6.049448152205356,1,0.6331208864176514,48.7
Nakuru,2021,Short Rains,334.5697780975132,26.687236579136922,10.473919689274531,6.362041984697398,0,8.66829267917464,17.0
Nakuru,2022,Long Rains,332.30779996940413,25.223352577681737,14.061999044991902,6.6656400595581,1,0.1538585310275927,38.1
Nakuru,2022,Short Rains,225.26300993190284,26.662526862807127,15.951090254244718,5.960412881077355,1,0.7866284263682627,14.1
Nakuru,2023,Long Rains,481.2525822394198,26.712480057141647,11.855979756839332,6.701766448946012,0,2.498252688633199,43.7
Nakuru,2023,Short Rains,373.04292531727754,25.928347921780098,17.129287311628012,4.890127447955128,0,0.22833487038373168,17.7
Uasin Gishu,2018,Long Rains,408.7047068238171,23.401985299068265,12.183521553071005,5.206215542699554,1,0.5734776459665967,48.5
Uasin Gishu,2018,Short Rains,208.5383825381082,24.383012794213624,12.996485912830927,6.657701058851037,1,0.41299095271727815,22.0
Uasin Gishu,2019,Long Rains,409.70775493480403,25.937289981065778,10.595893812245295,6.036168926701116,0,1.1141153854972288,42.2
Uasin Gishu,2019,Short Rains,270.88442177439117,26.01022691328492,13.530825733249706,5.492314628974793,0,0.8238171597248649,14.6
Uasin Gishu,2020,Long Rains,383.8714288333991,24.80810171362908,15.77237180242106,6.287288906415919,1,7.135596276583399,40.1
Uasin Gishu,2020,Short Rains,247.87888996406264,26.120460419882054,18.926484224970572,6.1038195176094385,0,1.3445442189472725,16.9
Uasin Gishu,2021,Long Rains,514.2822814515021,25.503866065373547,13.582063894086094,5.7453062726026305,1,2.0010074954635426,50.0
Uasin Gishu,2021,Short Rains,425.2364500647983,24.01892734973862,12.867404540794457,6.249825682543821,1,0.1,35.0
Uasin Gishu,2022,Long Rains,244.93365689338674,24.137125949612056,9.87539257254779,6.436796215317591,1,0.9779174019622036,30.4
Uasin Gishu,2022,Short Rains,224.23507870354595,27.62703443473934,11.53827136713209,6.313729967302065,1,0.5537540908758063,19.8
Uasin Gishu,2023,Long Rains,425.98827942484235,25.56364574355462,9.526098578243836,5.539771693457862,1,4.5481946982145045,50.0
Uasin Gishu,2023,Short Rains,277.715856759758,24.63995055684302,14.464507394322007,6.3465362366493405,0,0.3506316322083981,18.5
Trans Nzoia,2018,Long Rains,586.5774511144757,24.947665841823575,9.617393005594703,6.528276804316915,1,0.5416475181056118,50.0
Trans Nzoia,2018,Short Rains,184.34541453186316,27.926752258488644,14.825561853872996,6.611030079997245,0,0.9168326144140401,12.8
Trans Nzoia,2019,Long Rains,311.04855703744767,22.368379430069123,11.845796581171792,6.370575987408322,1,1.9946687714729663,32.6
Trans Nzoia,2019,Short Rains,366.28272617258534,25.47068633352409,19.440338333179238,6.512833673882503,0,0.1,22.8
Trans Nzoia,2020,Long Rains,292.91075019388876,24.96494483048637,11.553074429348298,6.557000247046046,0,5.2710469146637795,35.4
Trans Nzoia,2020,Short Rains,244.17368698745017,24.30641256386319,10.970305550628272,5.9767425239664895,0,1.6274739841204555,17.1
Trans Nzoia,2021,Long Rains,417.3180925851182,24.770634759457675,10.232285127597734,6.276862552972764,1,9.221139495692634,50.0
Trans Nzoia,2021,Short Rains,158.56237617355015,26.715574720696566,15.121569052736469,6.7415256215876385,1,0.6951241685341903,15.5
Trans Nzoia,2022,Long Rains,451.503526720866,25.027571901824416,13.030095372612095,8.12636574532736,1,2.0994381497756005,50.0
Trans Nzoia,2022,Short Rains,302.11130010446385,25.369461510719308,15.517938440986535,5.813587392731215,1,0.1,23.5
Trans Nzoia,2023,Long Rains,631.4658566673509,20.265469614816503,13.372520380749027,5.393642064405174,0,0.1,25.6
Trans Nzoia,2023,Short Rains,337.1160477573893,26.128560038190926,11.844510444141388,5.842348145370016,1,0.17842205797979457,27.8
Kitale,2018,Long Rains,404.55718399038136,22.696799304788367,16.28788817865065,6.516959511159006,1,7.4471140173999855,29.4
Kitale,2018,Short Rains,264.9163451815542,24.676427070463223,15.704866669592448,5.8037396307836495,0,6.574759846537204,15.0
Kitale,2019,Long Rains,450.49872789804573,25.731510388340244,9.599407185888447,6.032749382079526,0,0.5760119782531672,49.8
Kitale,2019,Short Rains,282.39853687687645,23.47823209132991,15.835723894109552,7.261078098506317,1,0.569322584548127,28.7
Kitale,2020,Long Rains,526.6911149186623,22.58466106876244,12.887638856292456,6.587317026714668,1,0.2059138368956265,28.2
Kitale,2020,Short Rains,168.04898869325683,25.49486369721368,11.504433636070301,7.016205651965818,1,0.1,12.5
Kitale,2021,Long Rains,544.1273289066115,21.128275697641122,14.32632750430992,6.205116530509794,1,0.35570573753461465,43.7
Kitale,2021,Short Rains,201.98264982729643,26.13960416998004,13.22937280627648,6.256758672625624,1,2.061654315689964,16.9
Kitale,2022,Long Rains,613.3033374656267,20.095824400954996,11.696429809928834,6.494158603242289,1,4.715152367539838,43.0
Kitale,2022,Short Rains,200.1840384143525,25.58375549928545,13.013998130682335,5.905317621527894,0,2.386310816879827,13.0
Kitale,2023,Long Rains,489.95998754332504,24.61459904175322,13.62572423767792,6.514814420961806,0,0.39066659208089394,50.0
Kitale,2023,Short Rains,298.8296212346772,25.958196812071705,14.234654766617563,6.838832447894212,1,5.340275848798653,23.7
Eldoret,2018,Long Rains,378.23187967727796,26.19755370397438,13.65083269797606,6.6067548180003195,0,4.656891361735264,47.2
Eldoret,2018,Short Rains,251.68030733062074,27.363905942589927,13.379466486813088,6.362083176244221,1,1.7039945821105276,18.4
Eldoret,2019,Long Rains,318.17793167665275,28.18477455137092,9.987965237000596,5.592905693606134,1,2.7916757473261544,29.3
Eldoret,2019,Short Rains,300.2676407411424,25.97550645430617,12.205491257028337,6.237902279096863,1,4.373237328441602,23.2
Eldoret,2020,Long Rains,317.45028032074885,23.357228316694012,12.82586290855125,5.918137723598013,1,0.21321742449077088,36.7
Eldoret,2020,Short Rains,209.4445459703096,25.057923388763353,14.464099874715272,5.475957829251338,1,5.8843290759264875,13.1
Eldoret,2021,Long Rains,328.15557787475643,23.573105696576306,12.621815131196009,6.937678108474776,1,4.736475350956181,46.0
Eldoret,2021,Short Rains,169.7976508289753,25.96297372801522,13.422682722159724,6.361359280169045,1,1.751107554405737,13.1
Eldoret,2022,Long Rains,389.12398515431425,24.803423444197882,13.380287983422225,5.999389764057082,0,6.605740212503822,41.2
Eldoret,2022,Short Rains,251.0073920625436,26.195352197097662,12.453980432289066,6.2122550871294715,1,2.3798024762335483,22.5
Eldoret,2023,Long Rains,615.3182457511557,22.4653048742239,13.744641273441356,6.291671002869176,0,0.6596854517975169,50.0
Eldoret,2023,Short Rains,185.3361371715879,24.32055631563845,12.801214709111957,5.138052137845097,1,0.16184456886636958,11.6
